profile	status	candidate_manifest_sha256	image_path	image_size	image_sha256	basis
storage-layout-stage1-current-generation165-live-v1	revoked	7e3bb797375f5b3a38a4bf76bb57f2a51e344b36a9613e0f25cf2e6c97862215	build/storage-layout-stage1-current-generation165-20260825-r1/repack/stable-recovery-a.avb.img	100663296	1a00e9061c027c804458732cfc93ba7175ee6821d821f9d86ffa079383fd5fc2	consumed 2026-08-25; host preflight stopped before collector, readiness, fresh backup, ACK, writable block device, resize, or GPT command because the private execution template used short USB path 1-1.2 while the collector requires the canonical full sysfs path; exact slot-A unauthorized-ADB fallback passed; R1; never retry or flash
storage-layout-stage1-current-generation166-live-v1	revoked	cc348a62688135492e36e02604b7a197b081cc671e0c65f48969015414963d88	build/storage-layout-stage1-current-generation166-20260825-r1/repack/stable-recovery-a.avb.img	100663296	4843d18e965a2f007b1a53cf9187e1f4844657db1a6ef40227acc4764ff423cb	consumed 2026-08-25; fresh backup set 1a6295725cb63ab27f90022e5061be6552eec7d6a4297cc4f5ff088543948679 was durably ACKed, ext4 shrank to 51124000 blocks, target multi-option sgdisk failed at S60, exact fresh GPT restoration succeeded, and slot-A fallback passed; never retry or flash
storage-layout-stage1-load-backup-generation167-live-v1	revoked	f9df41fb58858b9eeed9528650f1461d0a71bd2bb0bd8dd926f740ad65954ccf	build/storage-layout-stage1-load-backup-generation167-20260825-r1/repack/stable-recovery-a.avb.img	100663296	3f16f0693a083c4b0235e4aec3ba647c8ff1064cf0e0b48aeb534d441020e862	consumed 2026-08-25; exact S10 precondition rejected stale hardcoded 59513299-block filesystem before S30, collector, fresh backup, ACK, writable device, or storage write; current filesystem is 51124000 blocks after Generation 166; exact slot-A fallback passed; R2; never retry or flash
storage-layout-stage1-load-backup-generation168-live-v1	revoked	902890bd36b067fd7a262fd71334f418766777b3c8beb47711776b251878c9ea	build/storage-layout-stage1-load-backup-generation168-20260825-r1/repack/stable-recovery-a.avb.img	100663296	e5d54cf3a89465c93d636f4ef83f7013501ec1a8cfca0eb95f546980e6c1afbc	consumed 2026-08-26; recovery gadget disappeared before the anchor-first lifecycle started the collector, so no terminal stage was captured; no backup output, readiness, ACK, writable device, or storage write existed; exact slot-A fallback passed; never retry or flash
storage-layout-stage1-prewrite-observer-generation169-live-v1	revoked	c129243271b42c6efb38e3248d5a2ba58b11346720f8c188250efa5f8482e207	build/storage-layout-stage1-prewrite-observer-generation169-20260826-r1/repack/stable-recovery-a.avb.img	100663296	95007839a140cf46a1f0b996a3e977306f437e07b4f32e6b0be39998caa925f0	consumed 2026-08-26; receive-only observer captured a verdict internally and sent zero bytes, but expected target departure made post-capture USB revalidation throw before durable evidence publication; no readiness, ACK, backup, or storage write; exact slot-A fallback passed; never retry or flash
storage-layout-stage1-prewrite-observer-generation170-live-v1	revoked	74aaa7c64929f33d1758853c0a191d6e9104f97f7f81e3d13c32095c319c9553	build/storage-layout-stage1-prewrite-observer-generation170-20260826-r1/repack/stable-recovery-a.avb.img	100663296	56f8a8b3fdf17affa825131d8233ec12b1d7b84a9cb018c8ef64659b12bc5783	consumed 2026-08-26; receive-only observer durably captured exact S00_CONFIG invalid_private_config with post_capture_identity DEPARTED; observer sent zero bytes and no readiness, backup, ACK, or storage write occurred; exact slot-A fallback passed; never retry or flash
storage-layout-stage1-config-diag-generation171-live-v1	revoked	acee0a4e68fdc3e5e0dd60618719bb25e6a28f2afff602d1f329fead3a6d0b64	build/storage-layout-stage1-config-diag-generation171-20260826-r1/repack/stable-recovery-a.avb.img	100663296	65a672c4c7d3ddd3204fe582efad2e3c64ec840cedf8f07773f7f4015994956b	consumed 2026-08-26; receive-only observer captured exact ordered S00, S10, S20 and S30 with no terminal failure, proving config, topology, current filesystem and protected seal; observer sent zero bytes so no backup, ACK or write occurred; exact slot-A fallback passed; never retry or flash
storage-layout-stage1-production-generation172-live-v1	revoked	8df8f0152e66180f368c55f31e9b788ea3d120ce87117d3386ef2cd7f46fead0	build/storage-layout-stage1-production-generation172-20260826-r1/repack/stable-recovery-a.avb.img	100663296	fa8d5ca4b0bc5ef229730309c3d5abceec8e5d20e51e29e4259b9c5ddaf32595	consumed 2026-08-26; fresh backup 1b746fe5f704905ed2463911599217d3eb781c872630872a1df516e131a67405 was durably ACKed, sealed GPT load and new geometry/protected seal passed, then S70 post_gpt_filesystem_invalid triggered exact old-GPT restoration; restart2 returned exact fastboot automatically; never retry or flash
storage-layout-stage1-production-generation173-live-v1	revoked	09895a561a5086542463ba3fce4ecd4daf632fd8bb311e425ac385060cea3754	build/storage-layout-stage1-production-generation173-20260826-r1/repack/stable-recovery-a.avb.img	100663296	c77ed5a1ec8c60c756aa0034603ed130bd3044fdf957c2f787eaf2f8196a13e7	consumed 2026-08-26; fresh backup ACK and sealed GPT/new geometry/protected seal passed, then exact S70 filesystem_dumpe2fs_failed proved the pre-reread partition pathname was unusable; old GPT restored and restart2 returned exact fastboot; R3; never retry or flash
storage-layout-stage1-production-generation174-live-v1	revoked	e259fda8dcba14b5cfd1e53adc1dfa2e1782b548f6c7980fde994d9d1412d780	build/storage-layout-stage1-production-generation174-20260826-r1/repack/stable-recovery-a.avb.img	100663296	85c098a9ac3013581aaa8e94a54a4e465140f637414c9d25bb60c07a634ef066	consumed 2026-08-26; sealed GPT load and geometry passed, then exact S70 old_userdata_mapping_changed proved sgdisk itself had refreshed the live partition mapping; old GPT restored and restart2 returned exact fastboot; source confirms DiskSync issues BLKRRPART; R3; never retry or flash
