profile	status	candidate_manifest_sha256	image_path	image_size	image_sha256	basis
storage-layout-stage2-preflight-generation176-live-v1	revoked	3ee8244a6ccef26f594cf4aceecb2efc1e27b731fa7bdfc03917602def1b9f8d	build/storage-layout-stage2-preflight-generation176-20260826-r1/repack/stable-recovery-a.avb.img	100663296	097eccaf9d620017bbf406f8250a4eba2657cc1feccdfae194adb4c714000359	consumed 2026-08-26; read-only target completed or failed before host ACM stabilization, so no terminal record survived; no write path was reachable; missing 3-second delivery hold and omitted Stage-2 restart2 helper caused stock recovery fallback; never retry or flash
storage-layout-stage2-preflight-generation177-live-v1	revoked	8764447295144136ef58f759ca2f118da36025a49bdc2e13c918cd2a97a48381	build/storage-layout-stage2-preflight-generation177-20260826-r1/repack/stable-recovery-a.avb.img	100663296	a6fd7f40ed4aa1081bf2698482794ca06c02c8d723b8d2b225e26569a8b9eb05	consumed 2026-08-26; no ACM because recovery-init rejected post-Stage-1 physical count 117 against global pre-layout count 116 before USB bind; no Stage-2 write path reachable; packaged restart2 returned exact fastboot; never retry or flash
storage-layout-stage2-preflight-generation178-live-v1	revoked	5d2a7541fc708a76e19afa2252460f12c9cceb5d766a9f35af07b172b9379d85	build/storage-layout-stage2-preflight-generation178-20260826-r1/repack/stable-recovery-a.avb.img	100663296	fd1b48d0dc4f8404166ade7ac6d301a0f4a8eb40c1ab4fd86f3538cfd24ea95f	consumed 2026-08-26; exact packed 117-node mode-specific fix still returned before ACM, proving another pre-USB guard remains; no Stage-2 write path reachable; restart2 returned exact fastboot; never retry or flash
storage-layout-stage2-preflight-generation179-live-v1	revoked	707cae20d3ed363599fbae4174a0081485f26ca213decd4b52a39f24b61dbaaa	build/storage-layout-stage2-preflight-generation179-20260826-r1/repack/stable-recovery-a.avb.img	100663296	a994e326c7927b5b8831e4dc2abec2d78e1c313999a0f8398faee830f0b73da9	consumed 2026-08-26; no ACM even with aggregate count deferred, proving an earlier UFS discovery/isolation/power/inventory guard rejects before USB; no Stage-2 write path reachable; restart2 returned exact fastboot; never retry or flash
storage-layout-stage2-preflight-generation180-live-v1	revoked	827e5b67f6e2c876af21fbc01c79ee79025f03a59d21639e25df3d8cf0b305a4	build/storage-layout-stage2-preflight-generation180-20260826-r1/repack/stable-recovery-a.avb.img	100663296	4ade51df6c711b92ac26e4733db95926e910cfe46a1b49317e639cf4185d0aff	consumed 2026-08-26; USB-first report proved discovery/isolation/inventory pass, power fail, and exact count 117; executor rejected p24 identity with target untouched, cleanup/relock clean; automatic exact slot-A fastboot passed; never retry or flash
storage-layout-stage2-preflight-generation181-live-v1	revoked	ba2fa54f3e343e3e0a7921281ab5f0f7219723deb6c0b49f687e86f51e272bb8	build/storage-layout-stage2-preflight-generation181-20260826-r1/repack/stable-recovery-a.avb.img	100663296	7e3310f00981930b78f854f62ffa98c28ef851ada78231eb1de1b812f081707b	consumed 2026-08-26; fastboot accepted the rebuilt wrapper, then exact fastboot returned in 7.33 seconds with no recovery USB/ACM; no storage path was reachable; offline comparison isolates changed wrapper Image lineage as the uncontrolled boundary; never retry or flash
storage-layout-stage2-preflight-generation182-live-v1	revoked	35590291bdacb3a8dc198c27a38b8a41333d49d6f72f5c6bb74b6d81bcd65747	build/storage-layout-stage2-preflight-generation182-20260826-r1/repack/stable-recovery-a.avb.img	100663296	d1e45b3bf210919f1c2e824f5302b9626920b3e89484763c54b2d5429fbc0094	consumed 2026-08-26; live-proven wrapper restored ACM; exact p24 identity differs only by attrs=0004000000000000; wrapper contains none of the custom UFS marker strings, so marker telemetry is unsupported; target untouched and exact fastboot passed; never retry or flash
storage-layout-stage2-preflight-generation183-live-v1	revoked	ab476c8cca14aff156943ff72e6fd2bf702df02b2069f191cedc2c93f757d2ba	build/storage-layout-stage2-preflight-generation183-20260826-r1/repack/stable-recovery-a.avb.img	100663296	aa113e811bbac4e2d4559403a926bea737274c13989620ed6b7bace1e3f517ca	consumed 2026-08-26; recovery ACM remained present for 12.81 seconds but the collector saw disconnect before a terminal record; no storage write path was reached; restart2 did not retain fastboot and slot-A unauthorized recovery returned; never retry or flash
storage-layout-stage2-preflight-generation184-live-v1	revoked	c11a8e0ce53f29188b845fdaa471163319e3c02c2771488f06c3f4ddd25548e6	build/storage-layout-stage2-preflight-generation184-20260826-r1/repack/stable-recovery-a.avb.img	100663296	c9effda4e9f81c25d897a641a78156ff3deb306a7fcc1754baf676035b6af708	consumed 2026-08-26; durable transcript remained empty and USB timing matched Generation 183; unsupported marker path skipped the function that initialized its count variables, so set -u exited before guard report/executor; no storage path; slot-A recovery returned; never retry or flash
storage-layout-stage2-preflight-generation185-live-v1	revoked	39ac9cde4c24d0aefca63ff231113bc4b7a6ab72eaa243d83895ccdb934d2659	build/storage-layout-stage2-preflight-generation185-20260826-r1/repack/stable-recovery-a.avb.img	100663296	d9e09c2828aa370ea0bcd23f72d2d9b6e8929e4102a4443143b0985bcff3d0d2	consumed 2026-08-26; initialized guards and durable transport passed; exact p24 identity passed, then blkid found an unclassified residual signature in the former userdata tail; target untouched, cleanup/relock clean, exact fastboot passed; never retry or flash
