name	status	manifest_sha256	image_size	image_sha256	basis
userdata-ext4-reset-generation85-live-v1	revoked	910cb4d733217bad2d9b243cfd98dd167033689ecce04a31db1366a7a39dfb1f	100663296	af58eb329bcaf1c3796dfd6c02eb5f794b538f3ca0c552b93ea3c23047c23bd5	unbooted and superseded before claim entry because normal post-success reboot could let stock Android reformat Linux ext4; never boot or flash
userdata-ext4-reset-generation86-live-v1	revoked	0b008ecf596f27741087839d5d97a93c3b3b9abb29f7e1091e412310c67a3ef9	100663296	05aac000530d559b5d0c52e7054354ea72ae7434431bdc7fc2797f0ea7cc6f93	consumed by the sole Generation 86 RAM-only cycle; recovery ACM existed for 11 seconds but host stabilization timed out; no backup directory or ACK existed and no write boundary was crossed; exact stock slot-A fallback returned; never retry or flash
userdata-ext4-reset-generation87-live-v1	revoked	5e90b643fc38edf98614c62e580ec778d56499353b06b50bc1b551c17637c1bd	100663296	77d3f35379cc905c0933d80072a7fc95a2128809921ee7bfeda6596aae9ab6e0	consumed by the sole Generation 87 RAM-only cycle; recovery ACM existed for 21 seconds and exact restart2 returned fastboot, but the unprivileged collector could not open the transient ACM; no backup directory or ACK existed and no write occurred; never retry or flash
userdata-ext4-reset-generation88-live-v1	revoked	93fd867de3acda6af9f0bd067bfdf93da84909cd84e282eed585f97ed7d9ae0a	100663296	1ec27dd05d4c9582c79fc33de3ee810e123e45ae27aa51c20dc48eccd12c8f56	consumed by the sole Generation 88 RAM-only cycle; canonical root collector opened ACM and exposed an exact pre-backup four-field FAIL, but the old host parser discarded its stage/reason; no backup directory or ACK existed and no write occurred; exact fastboot returned; never retry or flash
userdata-ext4-reset-generation89-live-v1	revoked	0fa7333540f0752504f303f4dde1ca995664022dfa477569ec958ceceb0e328d	100663296	b7dfbcff5ac0c5b5150346120c09daa7378808caee0d3a2f453323632d2ea268	consumed by the sole Generation 89 RAM-only cycle; exact target failure was S10_TOPOLOGY userdata_content_changed with GPT restore not needed; no backup directory or ACK existed and no write occurred; never retry or flash
userdata-ext4-reset-generation90-live-v1	revoked	58d02f0d72ee03434d156f5e550d66a5c05fb2eb018848e1617f98c4eff03970	100663296	7bdfbebaee92a4a67e2b5fbd7d40064be2f8aca2f3c0b41eb68471a61a7b3801	consumed by the sole Generation 90 RAM-only cycle; host attached after raw backup streaming began and rejected binary as an overlong framed line; no output directory or durable ACK existed, so no format or write occurred; the 900-second watchdog returned exact stock slot A and Android remounted original F2FS userdata; R7; never retry or flash
userdata-ext4-reset-generation91-live-v1	revoked	f4f5754c880f6be9373664da61e663a1d5b27bcfda201e482b5a3b8ef80cd6d5	100663296	3d5ccb26e017936a198766c15f87f5bd52af175e2442b0f82710e8d76c4f27e5	consumed by the sole Generation 91 RAM-only cycle; target reported S30_FRESH_BACKUP host_ready_mismatch because the host sent readiness immediately after ACM open instead of after exact target S30; no output directory or durable ACK existed, so no format or write occurred; the 900-second watchdog returned stock slot-A Android USB at 15:28:58; R7; never retry or flash
userdata-ext4-reset-generation92-live-v1	revoked	20f5cc2437c6e5370e728bfc67a1bc687c5bf93c8d1df1baef6df6480b1cbaa0	100663296	af477d4fd6922b5c582cd29944a006f7cbfe8e9f232b552af9759fc6ebae7c37	consumed by the sole Generation 92 RAM-only cycle; target again reported S30_FRESH_BACKUP host_ready_mismatch after the host parsed exact target S30 before sending readiness; no output directory or durable ACK existed, so no format or write occurred; the 900-second watchdog returned stock slot A and Android remounted F2FS userdata; exact AArch64 BusyBox PTY testing passed, isolating physical gadget-ACM input contamination; never retry or flash
userdata-ext4-reset-generation93-live-v1	revoked	788a1b70fcedd07fbbe6bdb6705b1ca07c505e3aa9630e6423773e77293f3504	100663296	ef9143db03f76008726c48dac59cc2309af552d6266c316c56bcdd2902169045	consumed by the sole Generation 93 RAM-only cycle; target classified the first physical gadget-ACM record as host_ready_leading_data; no output directory or durable ACK existed, so no format or write occurred; the 900-second watchdog returned stock slot-A Android USB by 17:38:56; exact token remains unchanged and the successor prepends one empty separator record; never retry or flash
userdata-ext4-reset-generation94-live-v1	revoked	85b23d978cf6fe7bfd242ec9dde864231cdd93908ea7891cd322d5e7ebc6f16c	100663296	c123c8e5682805ef3e65cf72405dcb2a8ab52e0253d44bff20d15fc47e062e46	consumed by the sole Generation 94 RAM-only cycle; separator rendezvous and fresh durable backup ACK passed, then exact S32 watchdog disarm failed before any userdata write because the killed watchdog remained an unreaped inert zombie; repeated ACM failure writes delayed restart2 until a read-only drain attached; R3/R8; never retry or flash
