name	size	sha256	role	tracked
build/persistent-root-storage-read-v1-generation22-20260812-r1/repack/stable-recovery-a.avb.img	100663296	9a7c97dd087f52585d69071b13632c195c5da47505f2b3f910faccbc324c9649	consumed Generation 22 read-only UFS persistent Arch recovery; sole RAM-only cycle committed the target, target USB never appeared, and exact Alpine fallback returned; retain offline only; never retry or flash	no
build/persistent-root-storage-read-v2-generation23-20260812-r1/repack/stable-recovery-a.avb.img	100663296	ac508ef9bb4c04274da77d853b51705f41800256969ca6f578288cefaa754502	consumed Generation 23 early-USB persistent Arch recovery; sole RAM-only cycle committed the target, no target USB appeared, and exact Alpine returned after 25.330 seconds; retain offline only; never retry or flash	no
build/persistent-root-storage-read-v3-generation24-20260812-r1/repack/stable-recovery-a.avb.img	100663296	6850d79af138717190ab58e171a6f7f1d9874510026c9f10bf57d35a3e9f6bca	consumed Generation 24 precheck-USB-observable read-only UFS persistent Arch recovery; sole RAM-only cycle committed the target, no target USB appeared, and exact Alpine returned after 25.567 seconds; retain offline only; never retry or flash	no
build/persistent-root-storage-read-v4-generation25-20260812-r1/repack/stable-recovery-a.avb.img	100663296	0947cde461c495cd889e6c4de9cbafe1fe9bc3ceb977844a7c8ec2a5590a3a8c	consumed Generation 25 UFS-only-Image control; sole RAM-only cycle committed the target, target USB never appeared, and exact Alpine returned after 25.038 seconds; no UFS inventory was obtained; retain offline only; never retry or flash	no
build/persistent-root-storage-read-v5-generation26-20260812-r1/repack/stable-recovery-a.avb.img	100663296	1a0c13d5af49820932666a3801a577de92d579ede265ef83f4b1e8f17c56d07e	consumed Generation 26 RMTFS-reserved read-only UFS discriminator; sole RAM-only cycle committed the target, no target USB appeared, and exact Alpine returned after 25.333 seconds; no UFS inventory was obtained; retain offline only; never retry or flash	no
build/persistent-root-usb-control-v6-generation27-20260812-r1/repack/stable-recovery-a.avb.img	100663296	765e45af3d4ced2c87e15adf5ba6141ce5824d75334afc2ddedb4a28db18d88f	consumed Generation 27 exact Generation 20 kernel/DTB USB control; sole RAM-only cycle reached stable target NCM in 65.057 seconds, then the deliberate release mismatch returned exact Alpine; no UFS or phone-storage access; never retry or flash	no
build/persistent-root-dtb-control-v7-generation28-20260812-r1/repack/stable-recovery-a.avb.img	100663296	5047cfae9fbbeb0b76b59175792fc7e671e5ac94625bb81304d5422dd85024ee	consumed Generation 28 Image/DTB cross-pair; sole RAM-only cycle reached stable target NCM in 59.723 seconds, then the deliberate release mismatch returned exact Alpine; no UFS or phone-storage access; never retry or flash	no
build/persistent-root-image-control-v8-generation29-20260812-r1/repack/stable-recovery-a.avb.img	100663296	0fa7d7511b0acce2427dccbc1c02dfdda6ee95b48040c6e66acb6ff77396f2ec	consumed Generation 29 UFS Image plus live-proven UFS-disabled DTB control; sole RAM-only cycle reached stable target NCM in 58.780 seconds before the expected no-UFS rollback and exact Alpine fallback; no UFS or phone-storage access; never retry or flash	no
build/persistent-root-accepted-image-v9-generation30-20260812-r1/repack/stable-recovery-a.avb.img	100663296	7e6185bc40778c74d4528d54c22ae249997132ff0c57f64eb47ce7ba854a9ec4	consumed Generation 30 accepted persistent-root Image plus UFS-enabled DTB; no target USB appeared before exact Alpine fallback; no target-side storage access observed; never retry or flash	no
build/persistent-root-deferred-ufs-v10-generation31-20260812-r1/repack/stable-recovery-a.avb.img	100663296	218bd8f60e4b88f91981334fa40431dd7a7a47886f68d9bd93e4b9614783fce1	consumed Generation 31 USB-first deferred Qualcomm UFS-host probe discriminator; no target USB appeared before exact Alpine fallback; never retry or flash	no
build/persistent-root-deferred-qmp-ufs-v11-generation32-20260812-r1/repack/stable-recovery-a.avb.img	100663296	e527793af5fa25024519fee864a5174a373079441501f1d58b671b7251e5457f	consumed Generation 32 USB-first deferred QMP-UFS PHY discriminator; stable target NCM appeared for 11.276 seconds before target loss and exact Alpine fallback; no phone-storage access; never retry or flash	no
build/persistent-root-qmp-ufs-phy-control-v12-generation33-20260812-r1/repack/stable-recovery-a.avb.img	100663296	56dc47f1ead79a66cfd6d66a293ced84a120f3b980cd5a12685a164938d8f3de	consumed Generation 33 QMP-UFS PHY-only control; target NCM disappeared 11.419 seconds after enumeration before the 15-second control window; no phone-storage access; never retry or flash	no
build/persistent-root-qmp-module-load-control-v13-generation34-20260812-r1/repack/stable-recovery-a.avb.img	100663296	d314b940d8dbecf63334a8f425719200852d25af364838db24f9e8aebecffadd	consumed Generation 34 QMP-UFS no-bind module-load discriminator; exact 12.008-second NCM window passed, exact Alpine fallback returned, no phone-storage access; never retry or flash	no
build/persistent-root-qmp-regulator-stage-v14-generation35-20260812-r1/repack/stable-recovery-a.avb.img	100663296	734a7d0a3632df5f5d04d6faa2ecca82e72e4945daf5bd46db100e062d4e9d6e	consumed Generation 35 SM8350 QMP-UFS clock-and-regulator-stage discriminator; exact NCM window passed, exact Alpine fallback returned, no phone-storage access; never retry or flash	no
build/persistent-root-qmp-mmio-stage-v15-generation36-20260812-r1/repack/stable-recovery-a.avb.img	100663296	d5d5cdeb343b573527db94bc8d5fa909a267c0f87eec690f7b821d16438c483a	consumed Generation 36 SM8350 QMP-UFS DT/MMIO-stage discriminator; exact NCM window passed, exact Alpine fallback returned, no phone-storage access; never retry or flash	no
build/persistent-root-qmp-clock-provider-stage-v16-generation37-20260812-r1/repack/stable-recovery-a.avb.img	100663296	bf223a9de39e0822493fa6769fcc4db94eada697eb1b12ae1a1a5197e88e0f8b	consumed Generation 37 SM8350 QMP-UFS clock-provider-stage discriminator; target NCM disappeared inside qmp_ufs_register_clocks, exact Alpine fallback returned, no phone-storage access; never retry or flash	no
build/persistent-root-qmp-fixed-clocks-stage-v17-generation38-20260812-r1/repack/stable-recovery-a.avb.img	100663296	e5fe136dc95e7380b144d2f6bd64480e35464ae4523b17712aa695807e1b7f18	consumed Generation 38 SM8350 QMP-UFS fixed-rate-symbol-clocks discriminator; target NCM disappeared during allocation or one of three fixed-rate clock registrations, exact Alpine fallback returned, no phone-storage access; never retry or flash	no
build/persistent-root-qmp-first-fixed-clock-stage-v18-generation39-20260813-r1/repack/stable-recovery-a.avb.img	100663296	fbaee0cd105ba7d02e76ef5f1b13a4cb43bc0c4e03e14f0c9a0e9406c5513b7a	consumed Generation 39 SM8350 QMP-UFS first-fixed-clock discriminator; target NCM disappeared during allocation or first fixed-rate clock registration, exact Alpine fallback returned, no phone-storage access; never retry or flash	no
build/persistent-root-qmp-allocation-stage-v19-generation40-20260813-r1/repack/stable-recovery-a.avb.img	100663296	39051935dda192ac24983a91b0508eaa6f74788a77ce14a12f570ea2cad40280	consumed Generation 40 SM8350 QMP-UFS allocation-stage discriminator; clock-data allocation completed, stable target NCM passed for 12.173 seconds, exact Alpine returned, and no phone-storage access occurred; never retry or flash	no
build/persistent-root-qmp-first-clock-name-stage-v20-generation41-20260813-r1/repack/stable-recovery-a.avb.img	100663296	6f2a17b3d282a96fb491fc371b29f2fefc4ab274ffefa7904d97bd6dcacc98d4	consumed Generation 41 SM8350 QMP-UFS first-symbol-clock-name discriminator; name construction and a 12.359-second stable NCM window passed before exact Alpine fallback; no UFS enumeration or phone-storage access; never retry or flash	no
build/persistent-root-qmp-first-clock-runtime-pm-stage-v21-generation42-20260813-r1/repack/stable-recovery-a.avb.img	100663296	1b0ec7c7c9b9abb1cbf71c252292203869e853717f4a41cfbc3a03936b5597a1	consumed Generation 42 SM8350 QMP-UFS first fixed-rate clock discriminator; first registration and stable target NCM passed for 61.333 seconds plus a 12.246-second control window before exact Alpine fallback; no phone-storage access; never retry or flash	no
build/persistent-root-qmp-second-clock-runtime-pm-stage-v22-generation43-20260813-r1/repack/stable-recovery-a.avb.img	100663296	505e2c0ec00f8b5582cb18e648674737667b7c8d7b9cc5638b6c89c34fad9ec0	consumed Generation 43 SM8350 QMP-UFS second fixed-rate clock discriminator; stable target NCM passed for 60.264 seconds plus a 12.014-second control window and exact Alpine fallback returned, but a stale initramfs release identity rejected the target before deferred QMP-UFS module load; no UFS enumeration or phone-storage access; never retry or flash	no
build/persistent-root-qmp-third-clock-runtime-pm-stage-v23-generation44-20260813-r1/repack/stable-recovery-a.avb.img	100663296	2a8c210db1b846df4886c7803d337a4edf4fe1787537d1582529196a82734fd9	consumed Generation 44 SM8350 QMP-UFS three-clock discriminator; exact target-originated post-insmod proof passed, stable target NCM reached in 62.793 seconds and remained exact for 12.488 seconds, exact Alpine fallback returned, and no phone-storage access occurred; never retry or flash	no
build/persistent-root-qmp-clock-provider-cleanup-stage-v24-generation45-20260813-r1/repack/stable-recovery-a.avb.img	100663296	06fdc98669a72d02795c4fdeabb73875832a673b6d7d8190502ef5841682425f	consumed Generation 45 SM8350 QMP-UFS OF clock-provider publication discriminator; recovery PREPARE failed at FETCH_CONNECT before bundle transfer or mainline execution; exact Alpine fallback returned; no UFS enumeration or phone-storage access; never retry or flash	no
build/persistent-root-qmp-clock-provider-cleanup-stage-v25-generation46-20260813-r1/repack/stable-recovery-a.avb.img	100663296	d7088753846b5190c18123cea07c81fac82372f03dd677ba8cb4a997ffcb631d	consumed Generation 46 SM8350 QMP-UFS OF clock-provider publication and paired devm cleanup discriminator; exact target proof passed, stable NCM reached in 59.609 seconds and remained exact for 12.391 seconds, exact Alpine fallback returned, and no UFS enumeration or phone-storage access occurred; never retry or flash	no
build/persistent-root-qmp-ufs-phy-creation-stage-v26-generation47-20260813-r1/repack/stable-recovery-a.avb.img	100663296	3443002bbb82c1880d347d891c469c138b1ef10f3c2f26470da53bf89128aeaf	consumed Generation 47 SM8350 QMP-UFS PHY creation discriminator; its sole RAM-only cycle crossed devm PHY creation, produced exact target proof over stable NCM, returned exact Alpine fallback, and explicitly reported no phone-storage access; UFS core and host remained unloaded; never retry or flash	no
build/persistent-root-qmp-ufs-phy-provider-stage-v27-generation48-20260813-r1/repack/stable-recovery-a.avb.img	100663296	2e0f347a48ac9cd11c3e73ed795b4a42a5f920ebe98a7177bfedba6491be52b8	consumed by the sole Generation 48 RAM-only cycle; OF PHY-provider registration and stable target NCM passed, exact Alpine fallback returned, and no phone-storage access occurred; never retry or flash	no
build/persistent-root-ufs-readonly-enumeration-v28-generation49-20260813-r1/repack/stable-recovery-a.avb.img	100663296	7bd5cbae17f82d2496af0967534a53d8853f06d4eb6610a55641f7461e067399	consumed by the sole Generation 49 RAM-only cycle; exact 116-node read-only UFS enumeration, stable NCM, and exact Alpine fallback passed with zero mounts and writes; never retry or flash	no
build/persistent-root-ufs-local-root-v29-generation50-20260813-r1/repack/stable-recovery-a.avb.img	100663296	26d2d9b7a230268d9bd3e82497aab3e8126aefcf951b2e1fcf0a4c7fc5d6df28	consumed Generation 50 read-only local Arch root; one RAM-only cycle held stable target NCM for approximately 599 seconds without key-only SSH, then bounded rollback returned exact Alpine; no persistent phone writes; retain offline only; never retry or flash	no
build/persistent-root-ufs-local-root-stage-v30-generation51-20260813-r1/repack/stable-recovery-a.avb.img	100663296	3fbcf296b054460a4a5a48092e55e4df080c6e308430177cf999d42ff6ef39cc	consumed Generation 51 read-only local-root stage discriminator; UFS, runtime locks, exact userdata identity, and ro,noload mount passed before complete sealed-tree verification exceeded the rollback window; stable NCM and exact Alpine fallback passed; never retry or flash	no
build/persistent-root-ufs-fast-admission-v31-generation52-20260813-r1/repack/stable-recovery-a.avb.img	100663296	0d0683e3404e890522630808700e6915eb86d83fd3d8ddc8fc5ed716a7e9303f	consumed Generation 52 read-only local-root fast-admission cycle; exact UFS lock, userdata ro,noload mount, bounded root admission, and switch-root entry passed, key-only SSH did not appear, and exact Alpine fallback returned; retain offline only; never retry or flash	no
build/persistent-root-local-image-v32-generation53-20260813-r1/repack/stable-recovery-a.avb.img	100663296	fee441e423675610ee828d13e58db4d1c02b3751a024b3bbf1834257bca55d58	consumed Generation 53 read-only local-image Arch cycle; exact UFS lock, userdata and 16 GiB image identity, two ro,noload ext4 mounts, tmpfs OverlayFS, systemd, strict key-only SSH at target uptime 298.62 seconds, normal reboot, and exact Alpine fallback passed; retain offline only; never retry or flash	no
